method,clean_accuracy,attack_success_rate,accuracy_under_attack
Baseline,0.8795871559633027,1.0,0.0
CharSwap,0.8853211009174312,0.98,0.01770642201834864
WordNet,0.8658256880733946,0.94,0.05194954128440372
